Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
sat_cliquecoloring_45_137.cnf,"(6.319824998399782e-05, 7.143758146036337e-05)","(4.127248375e-05, 1.8862127013492944e-05)","(5.25601245e-06, 5.37307241410322e-06)","(2.2539408249999997e-05, 1.703286813561723e-05)","(8.682763225e-06, 8.660471310709292e-06)","(8.6810401e-06, 8.671881034146975e-06)"
sat_matching_60_251_14901.cnf,"(1.9265174978499998e-05, 1.1423939058550762e-05)","(5.00936925e-05, 2.1453581546329714e-05)","(5.201609725e-06, 5.2371651526530245e-06)","(1.51846335e-05, 8.10357866944813e-06)","(6.488419975e-06, 7.158813189070135e-06)","(6.78050455e-06, 7.404339237521488e-06)"
sat_subsetcard_36_360_58681.cnf,"(2.2843574998887562e-05, 1.4476447175582669e-05)","(0.00011514192225, 5.1860218823895115e-05)","(2.97997355e-05, 1.4504870653494666e-05)","(3.081513175e-05, 2.1539473602930946e-05)","(1.1271142475000001e-05, 1.013427268584702e-05)","(1.1079112475e-05, 1.0124080664874775e-05)"
sat_tseitin_20_130_36501.cnf,"(1.5770999993947044e-05, 1.112901835483603e-05)","(6.4861482e-05, 3.9815378022085915e-05)","(1.593284025e-05, 1.0927725711301973e-05)","(3.1679392e-05, 2.9196378267517386e-05)","(1.0077317475000001e-05, 1.0194224493546832e-05)","(9.888167525e-06, 1.0103045594575305e-05)"
sat_tseitin_30_468_86187.cnf,"(2.7825224992739092e-05, 1.3646121436284378e-05)","(0.00025990531750000003, 9.826981441621744e-05)","(3.304279e-05, 1.5536343739001142e-05)","(0.00012199104699999999, 8.707105905394201e-05)","(1.2562824925e-05, 1.1295392653453105e-05)","(1.2581840175e-05, 1.1259502185592188e-05)"
unsat_cliquecoloring_37_230.cnf,"(2.078219998793429e-05, 1.2495858170040036e-05)","(5.412110325e-05, 2.51492968019143e-05)","(5.06632005e-06, 5.0945512547344156e-06)","(1.4603637750000002e-05, 7.066745444716414e-06)","(6.609507474999999e-06, 7.268047903764161e-06)","(6.638835725e-06, 7.1856430225948796e-06)"
sat_subsetcard_12_72_25143.cnf,"(1.112680000119326e-05, 7.444629148704469e-06)","(2.5677842e-05, 1.149733494184074e-05)","(1.3364864999999999e-05, 9.646444344653397e-06)","(1.2624090125e-05, 1.0211860350211307e-05)","(8.39691755e-06, 8.277949709667185e-06)","(8.37307005e-06, 8.318144442761536e-06)"
sat_4clique_32_404_34389.cnf,"(7.079454997551694e-05, 7.51445506037454e-05)","(8.09468175e-05, 4.607912005531865e-05)","(5.01967475e-06, 4.973044232169537e-06)","(1.6904262e-05, 7.672898336319831e-06)","(6.6083575500000005e-06, 7.467413399079532e-06)","(6.567775075e-06, 7.3153349452452805e-06)"
unsat_php_96_450_86266.cnf,"(0.0018679425499556145, 0.002578204877032407)","(8.836238e-05, 4.282458217931101e-05)","(5.68988505e-06, 5.746058325755796e-06)","(2.0174279625e-05, 9.358302960354694e-06)","(6.712559675000001e-06, 7.4854115435030465e-06)","(6.625852575e-06, 7.203309596712083e-06)"
unsat_php_97_451_21992.cnf,"(0.004133099100033633, 0.00449770277735453)","(9.1542205e-05, 4.3159211497731564e-05)","(5.79786255e-06, 5.908764285006256e-06)","(2.2846737375000002e-05, 1.0721263059837628e-05)","(6.67844225e-06, 7.4439658001490836e-06)","(6.6994025249999995e-06, 7.436259100637842e-06)"
