tsne_1,tsne_2,comp_name,cnf_name
-7.9594736,-16.71855,original,sat_tiling_10_244_40767.cnf
-9.085115,-16.366293,egnn2s,sat_tiling_10_244_40767.cnf
-9.197954,-16.593292,g2sat,sat_tiling_10_244_40767.cnf
-7.957686,-16.717613,w2sat,sat_tiling_10_244_40767.cnf
-5.4616523,13.630028,gwae2sat_allo,sat_tiling_10_244_40767.cnf
-4.4543815,13.903349,gwae2sat_auto,sat_tiling_10_244_40767.cnf
-9.162764,-13.412468,original,sat_cliquecoloring_50_213.cnf
-3.5315275,12.785324,egnn2s,sat_cliquecoloring_50_213.cnf
-9.481509,-13.534692,g2sat,sat_cliquecoloring_50_213.cnf
-9.161703,-13.403751,w2sat,sat_cliquecoloring_50_213.cnf
-3.5647256,13.977783,gwae2sat_allo,sat_cliquecoloring_50_213.cnf
-4.539533,14.743717,gwae2sat_auto,sat_cliquecoloring_50_213.cnf
6.2152567,-10.408418,original,unsat_php_101_509_5311.cnf
8.844607,8.468625,egnn2s,unsat_php_101_509_5311.cnf
6.9438214,-10.045951,g2sat,unsat_php_101_509_5311.cnf
6.2153077,-10.407618,w2sat,unsat_php_101_509_5311.cnf
5.128526,13.865463,gwae2sat_allo,unsat_php_101_509_5311.cnf
5.5035496,14.519231,gwae2sat_auto,unsat_php_101_509_5311.cnf
13.240669,-2.5564826,original,sat_php_213_828_16930.cnf
11.850942,6.6159544,egnn2s,sat_php_213_828_16930.cnf
14.199626,-2.9697933,g2sat,sat_php_213_828_16930.cnf
11.828238,-0.8173922,gwae2sat_allo,sat_php_213_828_16930.cnf
11.959768,-1.7830203,gwae2sat_auto,sat_php_213_828_16930.cnf
15.386868,-3.3002722,original,sat_php_233_990_95853.cnf
12.1400385,6.4531183,egnn2s,sat_php_233_990_95853.cnf
16.23409,-3.5708697,g2sat,sat_php_233_990_95853.cnf
13.449285,-2.1214674,gwae2sat_allo,sat_php_233_990_95853.cnf
13.764563,-2.578769,gwae2sat_auto,sat_php_233_990_95853.cnf
-6.4681377,-14.583773,original,sat_op_45_249_69595.cnf
-0.7870153,11.682164,egnn2s,sat_op_45_249_69595.cnf
-5.8428397,-15.043442,g2sat,sat_op_45_249_69595.cnf
-6.444225,-14.440329,w2sat,sat_op_45_249_69595.cnf
4.4153395,14.186498,gwae2sat_allo,sat_op_45_249_69595.cnf
