c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,comp_name,cnf_name
629.9,247.5,2.5434027071408156,0.4278822259738419,0.0074569994208497385,0.39834884141690796,0.0017150071703443844,0.01701670653784427,1.8665575557730936,0.0074569994208497385,0.43172746664323014,0.004016129189606801,0.02168380682190693,0.9863263162826854,0.015119765664632068,0.5715643164445318,0.0024668868695925045,0.042110906605415166,0.7525674412981224,0.5179805581356202,0.0,1.0,0.8164804513890924,0.341235917021486,0.8935838927744248,0.0,1.0,1.9225546214690001,0.30379915609406666,0.30326474778644164,0.05937801537438232,0.36264276316082406,0.8203149932876899,0.004651791900661955,0.48441704719177975,0.0005981377988563687,0.012897028973183242,1.6270877873803786,gwae2sat_allo,unsat_tseitin_40_266_90515.cnf
651.3,231.2,2.815324794005765,0.39007040028114376,0.008742464948924066,0.38838596108742496,0.0016700078480243181,0.01978469934447965,2.047038765291562,0.008742464948924066,0.4636755830876626,0.004301111177313634,0.02538486623139576,1.1583160411791105,0.018092520198131797,0.5320928879614811,0.0024218875472724385,0.046118617870529476,0.7039693771792589,0.5762491127006028,0.0,1.0,0.9769939057817864,0.3322784873553088,0.8346806760993933,0.0,1.0,2.1876684741299304,0.2769671938869159,0.33182819718282,0.10671783711054254,0.4385460342933625,0.7785833421448037,0.005153781548790606,0.48626544790024023,0.00042776613703687186,0.013283447829083497,1.7698911876073276,gwae2sat_auto,unsat_tseitin_40_266_90515.cnf
782.0,20.0,39.1,0.02557544757033248,0.10895140664961636,0.2613868474965241,0.04219948849104859,0.15089514066496162,2.7877881193860077,0.10895140664961638,0.5289665340341949,0.1,0.6,0.16481953886241194,0.023657289002557542,0.04357977161242455,0.020460358056265986,0.024296675191815855,1.0,0.0,1.0,1.0,0.0,0.7854235817338643,0.019402114946670494,0.7435897435897436,0.801980198019802,1.6229667426615424,0.015238878614626082,0.9744245524296675,0.0,0.9744245524296675,0.9744245524296675,0.09744245524296676,0.2657148159793674,0.0370843989769821,0.13554987212276215,2.7877881193860077,original,unsat_tiling_20_782_63634.cnf
755.3,510.9,1.4785932133246793,0.6764565254834559,0.0020013366373145794,6.316127471470992,0.0,0.15624529528293934,0.9793593173579549,0.0020013366373145794,2.902026046910153,0.0011920118019091005,0.07032869631263695,0.7618133530106068,0.1475329543400893,0.423396508776644,0.0035726855086273004,0.36019031432583837,0.9971571966296062,0.02471479903664992,0.7435897435897436,1.0,0.08841050725712943,0.3019495965082269,1.5135386163150846,0.0,1.0,0.6841878166453039,0.45685758764251094,0.7695045730247654,0.156123509350081,0.9256280823748464,0.8867826937170211,0.001202695991824692,9.424939960953092,0.0,0.14035594322026754,0.09787873263682256,egnn2s,unsat_tiling_20_782_63634.cnf
796.0,18.2,43.719298245614034,0.022880143112701253,0.09906976744186047,0.2613868474965241,0.038372093023255824,0.1372093023255814,2.7877881193860072,0.09906976744186047,0.2885720848269984,0.05,0.20500000000000002,0.858865194049989,0.004930232558139534,0.4698432276897672,0.0017441860465116279,0.009534883720930231,1.0,0.0,1.0,1.0,0.0,0.7854235817338643,0.019402114946670494,0.7435897435897436,0.801980198019802,1.6229667426615424,0.01523887861462608,0.681860465116279,0.1453488372093023,0.8272093023255813,0.9138372093023255,0.08943023255813955,0.26354047044769735,0.03546511627906977,0.12372093023255812,2.776405906159848,g2sat,unsat_tiling_20_782_63634.cnf
782.0,20.0,39.10000000000001,0.025575447570332484,0.13432864450127877,0.5867167332239551,0.0945012787723785,0.4675191815856777,2.408991915455959,0.13432864450127877,0.4657577053416249,0.1,0.5999999999999999,0.8512020964799747,0.02428388746803069,0.0015873015873015847,0.024168797953964195,0.024296675191815855,0.9992327365728901,0.021469688008935398,0.4,1.0,0.005878170139364579,0.11874275297039413,0.8978220383055362,0.006534898632247055,0.46784963993624984,2.4150521219178076,0.10298065500952233,0.4731457800511508,0.4960358056265985,0.9691815856777491,0.4537084398976982,0.05972506393861893,0.6665523772850614,0.040025575447570336,0.2323529411764706,1.7159127958353046,w2sat,unsat_tiling_20_782_63634.cnf
659.8,246.7,2.6744096442499012,0.37404687561648314,0.006891991474156435,0.4169735583579139,0.0014986259886993684,0.01710820023219494,2.008878519455143,0.006891991474156435,0.44288623979793024,0.004004832232154425,0.021620935354320508,1.0483767780418973,0.007988775324586288,0.5582406268549953,0.0014986259886993684,0.02408931306936558,0.8975905375560049,0.3183957966111262,0.0,1.0,0.4626301574879794,0.7288799351052713,0.41585853084060365,0.0,1.0,1.8031947730472173,0.3024238278982418,0.4063858999628914,0.09687680183366866,0.5032627017965601,0.9923310894854463,0.006811075983229399,0.4183375888968648,0.0014986259886993684,0.01665364330743572,2.003572072731012,gwae2sat_allo,unsat_tiling_20_782_63634.cnf
693.4,229.4,3.0222654810090472,0.33148001691686607,0.008239338776131568,0.38450004456849435,0.0015596425963882816,0.019043210787326313,2.164898341122887,0.008239338776131568,0.45987345236551586,0.004299245227171822,0.025791771496226135,1.1936127153605847,0.011093114587471255,0.493637719785991,0.0015745372973285903,0.03089877756590269,0.8778925312670293,0.34640857941186887,0.0,1.0,0.564352073513408,0.7537753067152209,0.3597238342803162,0.0,1.0,2.0031919698988143,0.27097984430301414,0.42531710575589476,0.1515788520487961,0.5768959578046908,0.9874784639447769,0.008067600444214115,0.38973298157104747,0.0015596425963882816,0.01876158484840803,2.1598216056623087,gwae2sat_auto,unsat_tiling_20_782_63634.cnf
131.0,27.0,4.851851851851852,0.20610687022900764,0.09584393553859202,0.46760512614594363,0.03816793893129771,0.17557251908396945,0.9368883075390159,0.09584393553859202,0.19021402885136882,0.07407407407407407,0.1111111111111111,0.6776541476499724,0.09669211195928754,0.3721614637823934,0.04580152671755725,0.12213740458015267,0.6946564885496184,0.4781587947862481,0.33333333333333337,1.0,0.6896175903518429,0.7636070853462158,0.15979863667603028,0.6,0.8666666666666667,0.936888307539016,0.1220233711944824,0.4122137404580153,0.5877862595419847,1.0,0.9389312977099237,0.08905852417302798,0.5205962045225314,0.030534351145038167,0.17557251908396945,0.9368883075390159,original,unsat_cliquecoloring_27_131.cnf
158.1,122.5,1.2915454858620885,0.7748847445605067,0.009097669855971945,2.578974558576677,0.0,0.14553924660145365,1.1824970846010092,0.009097669855971945,0.9084736656916113,0.005706209581527009,0.04279657186145257,1.0916811976866065,0.10307604762024809,0.5449821301819634,0.015761176723107773,0.3001294411165697,0.9692280617661646,0.10369249127281903,0.5399999999999998,1.0,0.42230719100606207,0.3312948177941017,1.3816249277374157,0.0,1.0,0.9025446091847099,0.4563870315476673,0.6694565262249859,0.12783395382882862,0.7972904800538145,0.7672763688371547,0.007574528364185583,2.4240396708716405,0.0,0.0885891066269718,1.1563995945382244,egnn2s,unsat_cliquecoloring_27_131.cnf
