Instance,Original,EGNN2S,G2SAT,W2SAT,Allo-GWAE2SAT,Auto-GWAE2SAT
sat_cliquecoloring_50_213.cnf,"[7.66719999987231e-06, 5.347089999858667e-05, 0.0002810240999977509, 4.4139500000994755e-05]","[7.723664e-05, 3.81485e-05, 7.544142e-05, 2.2572229e-05]","[2.4033302e-06, 2.11099e-06, 1.444095e-05, 2.07283e-06]","[1.5813821e-05, 1.303125e-05, 8.7976616e-05, 1.832024e-05]","[3.37046e-06, 4.90072e-06, 2.5417e-05, 5.6578597e-06]","[3.2912099e-06, 4.7635795e-06, 2.4670051e-05, 5.41036e-06]"
unsat_php_101_509_5311.cnf,"[0.0008357060999998111, 0.0009406027000004258, 0.004973876399999711, 0.0005498225000010847]","[0.00014193982, 6.555592e-05, 0.00014432581, 3.6869107e-05]","[2.43491e-06, 2.1898e-06, 1.566206e-05, 2.2026802e-06]","[8.665979e-06, 1.3598069e-05, 3.046231e-05, 2.9864977e-05]","[2.45554e-06, 2.30347e-06, 1.9395751e-05, 2.28958e-06]","[2.5676698e-06, 2.29575e-06, 1.939834e-05, 2.285e-06]"
sat_php_213_828_16930.cnf,"[2.428530000102569e-05, 2.6303899998225687e-05, 9.164259999963064e-05, 4.524330000137411e-05]","[0.00023202987, 0.00010728049, 0.00017002907, 6.059024e-05]","[2.82107e-06, 2.6167802e-06, 2.0093768e-05, 2.60295e-06]",,"[2.7599501e-06, 2.45007e-06, 1.999869e-05, 2.4994902e-06]","[2.7023398e-06, 2.47555e-06, 1.9864758e-05, 2.52003e-06]"
sat_php_233_990_95853.cnf,"[2.908249999862278e-05, 2.9699900000679236e-05, 9.667179999937048e-05, 4.83116000019379e-05]","[0.00028452437, 0.00012411442, 0.00021114995, 7.361833e-05]","[2.7890699e-06, 2.58136e-06, 2.0637792e-05, 2.5640502e-06]",,"[2.7251099e-06, 2.6249197e-06, 2.0302079e-05, 2.5538e-06]","[2.75567e-06, 2.59753e-06, 1.991114e-05, 2.56662e-06]"
sat_op_45_249_69595.cnf,"[1.0422700000134456e-05, 1.4905999999825782e-05, 5.243459999917377e-05, 1.0647900000293475e-05]","[9.125372e-05, 4.835203e-05, 0.00012490425, 3.5597852e-05]","[2.3534499e-06, 2.0681e-06, 1.419379e-05, 2.05087e-06]","[9.48784e-06, 1.026377e-05, 2.8529681e-05, 1.399624e-05]","[3.71229e-06, 5.56956e-06, 2.660242e-05, 6.7511305e-06]","[3.5606504e-06, 4.56142e-06, 2.6375952e-05, 5.5688297e-06]"
sat_cliquecoloring_55_227.cnf,"[1.0652699999269543e-05, 2.26862999994637e-05, 0.00014156970000058777, 2.455850000018245e-05]","[7.725037e-05, 3.782211e-05, 7.8413825e-05, 2.384266e-05]","[2.38344e-06, 2.1336998e-06, 1.46908205e-05, 2.1491398e-06]","[1.4534509e-05, 1.358358e-05, 6.0622515e-05, 1.880232e-05]","[2.4110502e-06, 2.2259098e-06, 1.871538e-05, 2.22826e-06]","[2.4343299e-06, 2.2146e-06, 1.8678522e-05, 2.20927e-06]"
sat_5color_50_260_2076.cnf,"[7.349499999520504e-06, 1.2619700002147737e-05, 3.4958300000198504e-05, 1.5477299997712633e-05]","[7.597063e-05, 4.0699822e-05, 8.5599444e-05, 2.3737599e-05]","[2.36929e-06, 2.0866198e-06, 1.404017e-05, 2.08162e-06]","[6.93976e-06, 1.026564e-05, 2.3418299e-05, 1.3709572e-05]","[3.2144003e-06, 4.54889e-06, 2.416113e-05, 5.3188305e-06]","[2.4073101e-06, 2.31553e-06, 1.8737841e-05, 2.18679e-06]"
unsat_tiling_20_793_2570.cnf,"[2.6351599999685504e-05, 3.068440000077999e-05, 0.00011155750000071407, 3.064130000041132e-05]","[0.00018465094, 9.067998e-05, 0.00023417032, 5.200781e-05]","[2.4308197e-06, 2.2489198e-06, 1.376714e-05, 2.2566799e-06]","[8.386689e-06, 1.7143539e-05, 3.124265e-05, 2.289023e-05]","[2.6071802e-06, 2.44857e-06, 1.9912151e-05, 2.4344802e-06]","[2.67493e-06, 2.42866e-06, 1.9549258e-05, 2.43396e-06]"
sat_cliquecoloring_99_561.cnf,"[3.296529999943232e-05, 0.00015000110000045196, 0.0006149796000002539, 0.00011853100000109862]","[0.0001881409, 9.100285e-05, 0.000199889, 4.7256726e-05]","[2.56651e-06, 2.36053e-06, 1.64092e-05, 2.29035e-06]","[2.2962739e-05, 1.857429e-05, 6.592028e-05, 2.917917e-05]","[2.64813e-06, 2.3641499e-06, 1.9791569e-05, 2.4329102e-06]","[2.6055e-06, 2.39634e-06, 1.9351779e-05, 2.4075302e-06]"
unsat_php_186_1660_24423.cnf,"[22.2105274439, 29.891216608500002, 118.01062074840004, 21.99571310340002]","[0.0004019462, 0.00018510458, 0.0004159879, 9.732436e-05]","[3.1227999e-06, 2.7823799e-06, 1.9825602e-05, 2.7664798e-06]","[1.2217771e-05, 2.6118942e-05, 3.713818e-05, 8.331582e-05]","[3.0152098e-06, 2.66236e-06, 2.06755e-05, 2.64412e-06]","[3.1744198e-06, 2.77029e-06, 2.091593e-05, 2.8188601e-06]"
