Instance,W2SAT
sat_dominating_70_1295_27876.cnf,"[9.95862e-06, 2.0585281e-05, 2.926005e-05, 6.36828e-05]"
unsat_tiling_20_231_52499.cnf,"[6.75942e-06, 8.673649e-06, 2.2662582e-05, 1.199217e-05]"
unsat_cliquecoloring_62_446.cnf,"[1.08108e-05, 1.2752629e-05, 2.6976908e-05, 2.2078371e-05]"
sat_php_234_997_36616.cnf,
unsat_dominating_80_1808_68998.cnf,"[9.62058e-06, 2.654636e-05, 3.0199011e-05, 7.4296826e-05]"
unsat_matching_60_259_93884.cnf,"[7.0195797e-06, 9.92369e-06, 2.8627739e-05, 1.705057e-05]"
unsat_tseitin_20_100_94365.cnf,"[2.2130263e-05, 1.3880129e-05, 7.5151926e-05, 1.231225e-05]"
sat_4color_120_450_33000.cnf,"[8.41495e-06, 1.27822395e-05, 3.24791e-05, 2.3224242e-05]"
sat_5color_250_1550_97858.cnf,"[1.607621e-05, 2.618648e-05, 4.295343e-05, 5.6601617e-05]"
unsat_dominating_80_1810_56432.cnf,
sat_tiling_5_19_51205.cnf,"[4.8337397e-06, 6.05675e-06, 1.915247e-05, 3.6389e-06]"
sat_php_232_978_45755.cnf,
unsat_dominating_80_1810_67242.cnf,"[1.140288e-05, 2.642587e-05, 3.071547e-05, 7.832246e-05]"
sat_php_234_997_1553.cnf,
sat_subsetcard_64_1792_25143.cnf,"[6.0386323e-05, 5.5095217e-05, 0.0001553033, 4.4576427e-05]"
unsat_subsetcard_53_818_50334.cnf,"[9.848271e-06, 1.754671e-05, 3.282825e-05, 2.1588961e-05]"
unsat_tiling_10_124_9529.cnf,"[5.7793704e-06, 7.28656e-06, 2.291267e-05, 7.2409e-06]"
sat_tseitin_20_118_71779.cnf,"[2.266165e-05, 1.6305119e-05, 6.297305e-05, 1.4013509e-05]"
sat_tiling_10_236_77445.cnf,"[5.7536595e-06, 8.69262e-06, 2.2751332e-05, 8.2264205e-06]"
sat_php_222_895_6.cnf,
unsat_dominating_80_1810_66379.cnf,
unsat_cliquecoloring_50_356.cnf,"[9.022899e-06, 1.1622499e-05, 2.642622e-05, 1.6057562e-05]"
unsat_5clique_50_1130_76720.cnf,
unsat_5clique_65_1695_90705.cnf,
sat_5color_250_1300_97403.cnf,"[9.876941e-06, 2.3048971e-05, 4.0436847e-05, 5.6655186e-05]"
sat_3clique_30_348_89891.cnf,"[7.1720206e-06, 1.049365e-05, 2.43146e-05, 2.057906e-05]"
unsat_dominating_80_1810_70888.cnf,
unsat_5clique_65_1825_42075.cnf,
sat_4clique_40_664_58622.cnf,
sat_php_224_918_91788.cnf,
sat_dominating_70_1295_25518.cnf,"[9.199341e-06, 2.057909e-05, 3.012071e-05, 5.666762e-05]"
sat_php_220_881_91073.cnf,
sat_php_227_942_25083.cnf,
unsat_matching_40_184_2153.cnf,"[7.1781296e-06, 9.0004e-06, 2.663596e-05, 1.354509e-05]"
sat_4clique_40_604_39950.cnf,"[8.0461e-06, 1.329261e-05, 2.6921713e-05, 3.233707e-05]"
unsat_dominating_80_1810_41876.cnf,"[1.11012105e-05, 2.6383088e-05, 3.096332e-05, 7.9529695e-05]"
unsat_dominating_80_1810_65972.cnf,
unsat_3color_90_480_50860.cnf,"[8.6294e-06, 1.2748829e-05, 3.131292e-05, 1.9058969e-05]"
sat_php_224_908_8740.cnf,
