tsne_1,tsne_2,comp_name,cnf_name
27.741764,-7.6056647,original,unsat_dominating_80_1810_67242.cnf
26.412199,-6.8629465,w2sat,unsat_dominating_80_1810_67242.cnf
11.716874,6.5306706,original,sat_php_234_997_1553.cnf
26.875433,-3.4369378,original,sat_subsetcard_64_1792_25143.cnf
26.876408,-3.4385068,w2sat,sat_subsetcard_64_1792_25143.cnf
6.797035,5.635837,original,unsat_subsetcard_53_818_50334.cnf
6.796647,5.6357226,w2sat,unsat_subsetcard_53_818_50334.cnf
-27.583355,0.11500927,original,unsat_tiling_10_124_9529.cnf
-27.582691,0.11363381,w2sat,unsat_tiling_10_124_9529.cnf
-28.071442,-0.40570274,original,sat_tseitin_20_118_71779.cnf
-28.074755,-0.39806455,w2sat,sat_tseitin_20_118_71779.cnf
-17.36432,-2.88095,original,sat_tiling_10_236_77445.cnf
-17.365488,-2.8821764,w2sat,sat_tiling_10_236_77445.cnf
10.155557,7.148054,original,sat_php_222_895_6.cnf
27.594378,-6.766376,original,unsat_dominating_80_1810_66379.cnf
-9.304984,1.7428479,original,unsat_cliquecoloring_50_356.cnf
-9.307309,1.7448378,w2sat,unsat_cliquecoloring_50_356.cnf
14.649111,4.167907,original,unsat_5clique_50_1130_76720.cnf
26.356628,-3.3624783,original,unsat_5clique_65_1695_90705.cnf
16.77517,3.9447868,original,sat_5color_250_1300_97403.cnf
16.749548,3.7323148,w2sat,sat_5color_250_1300_97403.cnf
-9.209824,2.49684,original,sat_3clique_30_348_89891.cnf
-9.210532,2.497419,w2sat,sat_3clique_30_348_89891.cnf
28.292263,-4.9224734,original,unsat_dominating_80_1810_70888.cnf
27.978632,-9.702346,original,unsat_5clique_65_1825_42075.cnf
3.442012,5.3421783,original,sat_4clique_40_664_58622.cnf
10.489753,6.784789,original,sat_php_224_918_91788.cnf
15.646952,4.070911,original,sat_dominating_70_1295_25518.cnf
15.643239,3.661798,w2sat,sat_dominating_70_1295_25518.cnf
9.954794,7.3233447,original,sat_php_220_881_91073.cnf
10.916989,6.6343136,original,sat_php_227_942_25083.cnf
-30.241539,-0.66106534,original,unsat_matching_40_184_2153.cnf
-22.741457,-0.7357502,w2sat,unsat_matching_40_184_2153.cnf
2.3191378,5.1618834,original,sat_4clique_40_604_39950.cnf
2.3194172,5.161292,w2sat,sat_4clique_40_604_39950.cnf
27.989548,-7.4606595,original,unsat_dominating_80_1810_41876.cnf
26.338966,-7.2455845,w2sat,unsat_dominating_80_1810_41876.cnf
28.296413,-4.9223595,original,unsat_dominating_80_1810_65972.cnf
-1.9678652,5.2211576,original,unsat_3color_90_480_50860.cnf
-1.967828,5.2208037,w2sat,unsat_3color_90_480_50860.cnf
10.4624605,7.468053,original,sat_php_224_908_8740.cnf
-16.95358,-2.8247256,original,sat_tiling_10_244_40767.cnf
-16.954262,-2.8240306,w2sat,sat_tiling_10_244_40767.cnf
28.09164,-7.3468485,original,unsat_dominating_80_1810_31472.cnf
3.4893117,5.325451,original,sat_3clique_39_666_65351.cnf
-17.309034,-2.8732204,original,sat_tiling_10_237_83086.cnf
-17.310143,-2.8752882,w2sat,sat_tiling_10_237_83086.cnf
-2.3384979,3.7013812,original,unsat_cliquecoloring_48_493.cnf
-2.3403168,3.7013223,w2sat,unsat_cliquecoloring_48_493.cnf
27.3374,-7.606965,original,unsat_dominating_80_1810_60782.cnf
11.021266,7.3765655,original,sat_php_227_936_60065.cnf
8.50867,5.15339,original,sat_5clique_50_930_78130.cnf
27.549578,-6.7816963,original,unsat_dominating_80_1810_35210.cnf
26.095764,-7.0277305,w2sat,unsat_dominating_80_1810_35210.cnf
31.966211,-6.5845423,original,sat_subsetcard_60_2820_18847.cnf
31.966211,-6.584524,w2sat,sat_subsetcard_60_2820_18847.cnf
-19.509846,-0.59262455,original,sat_cliquecoloring_50_213.cnf
-19.512577,-0.5916946,w2sat,sat_cliquecoloring_50_213.cnf
-30.267826,-1.1364348,original,sat_subsetcard_24_84_25143.cnf
-30.25834,-1.0793219,w2sat,sat_subsetcard_24_84_25143.cnf
8.980073,5.036959,original,sat_dominating_60_970_56272.cnf
8.980099,5.0368342,w2sat,sat_dominating_60_970_56272.cnf
7.951141,5.7362013,original,unsat_php_95_878_22166.cnf
7.9508934,5.736066,w2sat,unsat_php_95_878_22166.cnf
27.318487,-7.588441,original,unsat_dominating_80_1810_95248.cnf
-0.9806608,5.115406,original,unsat_php_101_509_5311.cnf
-0.9809686,5.115205,w2sat,unsat_php_101_509_5311.cnf
-26.375946,-0.36418736,original,sat_tseitin_20_142_20074.cnf
-26.382318,-0.33834565,w2sat,sat_tseitin_20_142_20074.cnf
-8.081544,2.3624895,original,sat_3clique_30_378_90705.cnf
-8.082114,2.365375,w2sat,sat_3clique_30_378_90705.cnf
-16.376753,-2.1341395,original,unsat_tiling_20_258_54906.cnf
-16.307459,-2.0436213,w2sat,unsat_tiling_20_258_54906.cnf
9.256468,7.326948,original,sat_php_213_828_16930.cnf
10.635534,6.734577,original,sat_php_225_926_92838.cnf
